geo_code,csd_name,topic,characteristic,total,year
5939801,CHUM CREEK 2,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5939801,CHUM CREEK 2,Labour Force Indicators,Employment rate,54.5,2001
5939801,CHUM CREEK 2,Labour Force Indicators,Unemployment rate,50,2001
5939802,HUSTALEN 1,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5939802,HUSTALEN 1,Labour Force Indicators,Employment rate,NA,2001
5939802,HUSTALEN 1,Labour Force Indicators,Unemployment rate,NA,2001
5939803,NORTH BAY 5,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5939803,NORTH BAY 5,Labour Force Indicators,Employment rate,30,2001
5939803,NORTH BAY 5,Labour Force Indicators,Unemployment rate,0,2001
5939804,OKANAGAN (PART) 1,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5939804,OKANAGAN (PART) 1,Labour Force Indicators,Employment rate,50,2001
5939804,OKANAGAN (PART) 1,Labour Force Indicators,Unemployment rate,22.2,2001
5939805,QUAAOUT 1,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5939805,QUAAOUT 1,Labour Force Indicators,Employment rate,33.3,2001
5939805,QUAAOUT 1,Labour Force Indicators,Unemployment rate,30,2001
5939806,SALMON RIVER 1,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5939806,SALMON RIVER 1,Labour Force Indicators,Employment rate,NA,2001
5939806,SALMON RIVER 1,Labour Force Indicators,Unemployment rate,NA,2001
5939807,SCOTCH CREEK 4,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5939807,SCOTCH CREEK 4,Labour Force Indicators,Employment rate,NA,2001
5939807,SCOTCH CREEK 4,Labour Force Indicators,Unemployment rate,NA,2001
5939808,SWITSEMALPH 3,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5939808,SWITSEMALPH 3,Labour Force Indicators,Employment rate,55.6,2001
5939808,SWITSEMALPH 3,Labour Force Indicators,Unemployment rate,33.3,2001
5939809,SWITSEMALPH 6,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5939809,SWITSEMALPH 6,Labour Force Indicators,Employment rate,47.4,2001
5939809,SWITSEMALPH 6,Labour Force Indicators,Unemployment rate,15.4,2001
5939810,SWITSEMALPH 7,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5939810,SWITSEMALPH 7,Labour Force Indicators,Employment rate,NA,2001
5939810,SWITSEMALPH 7,Labour Force Indicators,Unemployment rate,NA,2001
5941005,ONE HUNDRED MILE HOUSE,Income in 2000,Median total income of persons 15 years of age and over ($),16441,2001
5941005,ONE HUNDRED MILE HOUSE,Labour Force Indicators,Employment rate,51.8,2001
5941005,ONE HUNDRED MILE HOUSE,Labour Force Indicators,Unemployment rate,13.3,2001
5941009,WILLIAMS LAKE,Income in 2000,Median total income of persons 15 years of age and over ($),20725,2001
5941009,WILLIAMS LAKE,Labour Force Indicators,Employment rate,61.1,2001
5941009,WILLIAMS LAKE,Labour Force Indicators,Unemployment rate,13.7,2001
5941010,CARIBOO D,Income in 2000,Median total income of persons 15 years of age and over ($),24061,2001
5941010,CARIBOO D,Labour Force Indicators,Employment rate,61.1,2001
5941010,CARIBOO D,Labour Force Indicators,Unemployment rate,15.3,2001
5941012,CARIBOO E,Income in 2000,Median total income of persons 15 years of age and over ($),24948,2001
5941012,CARIBOO E,Labour Force Indicators,Employment rate,63.9,2001
5941012,CARIBOO E,Labour Force Indicators,Unemployment rate,15.4,2001
5941013,QUESNEL,Income in 2000,Median total income of persons 15 years of age and over ($),18504,2001
5941013,QUESNEL,Labour Force Indicators,Employment rate,57.7,2001
5941013,QUESNEL,Labour Force Indicators,Unemployment rate,13.4,2001
5941014,CARIBOO F,Income in 2000,Median total income of persons 15 years of age and over ($),21032,2001
5941014,CARIBOO F,Labour Force Indicators,Employment rate,66.7,2001
5941014,CARIBOO F,Labour Force Indicators,Unemployment rate,11.5,2001
5941015,CARIBOO G,Income in 2000,Median total income of persons 15 years of age and over ($),18515,2001
5941015,CARIBOO G,Labour Force Indicators,Employment rate,55,2001
5941015,CARIBOO G,Labour Force Indicators,Unemployment rate,12.2,2001
5941016,CARIBOO H,Income in 2000,Median total income of persons 15 years of age and over ($),16522,2001
5941016,CARIBOO H,Labour Force Indicators,Employment rate,51,2001
5941016,CARIBOO H,Labour Force Indicators,Unemployment rate,16.5,2001
5941017,CARIBOO L,Income in 2000,Median total income of persons 15 years of age and over ($),19111,2001
5941017,CARIBOO L,Labour Force Indicators,Employment rate,52,2001
5941017,CARIBOO L,Labour Force Indicators,Unemployment rate,14.1,2001
5941019,CARIBOO A,Income in 2000,Median total income of persons 15 years of age and over ($),21322,2001
5941019,CARIBOO A,Labour Force Indicators,Employment rate,57.4,2001
5941019,CARIBOO A,Labour Force Indicators,Unemployment rate,15.3,2001
5941021,CARIBOO B,Income in 2000,Median total income of persons 15 years of age and over ($),20291,2001
5941021,CARIBOO B,Labour Force Indicators,Employment rate,61.6,2001
5941021,CARIBOO B,Labour Force Indicators,Unemployment rate,12,2001
5941025,WELLS,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5941025,WELLS,Labour Force Indicators,Employment rate,48.8,2001
5941025,WELLS,Labour Force Indicators,Unemployment rate,12.5,2001
5941026,CARIBOO C,Income in 2000,Median total income of persons 15 years of age and over ($),16937,2001
5941026,CARIBOO C,Labour Force Indicators,Employment rate,57.8,2001
5941026,CARIBOO C,Labour Force Indicators,Unemployment rate,15.4,2001
5941027,CARIBOO I,Income in 2000,Median total income of persons 15 years of age and over ($),17507,2001
5941027,CARIBOO I,Labour Force Indicators,Employment rate,65.4,2001
5941027,CARIBOO I,Labour Force Indicators,Unemployment rate,9.8,2001
5941039,CARIBOO J,Income in 2000,Median total income of persons 15 years of age and over ($),14645,2001
5941039,CARIBOO J,Labour Force Indicators,Employment rate,59.4,2001
5941039,CARIBOO J,Labour Force Indicators,Unemployment rate,14.9,2001
5941041,CARIBOO K,Income in 2000,Median total income of persons 15 years of age and over ($),20884,2001
5941041,CARIBOO K,Labour Force Indicators,Employment rate,68.3,2001
5941041,CARIBOO K,Labour Force Indicators,Unemployment rate,7.9,2001
5941801,ALKALI LAKE 1,Income in 2000,Median total income of persons 15 years of age and over ($),11680,2001
5941801,ALKALI LAKE 1,Labour Force Indicators,Employment rate,37.5,2001
5941801,ALKALI LAKE 1,Labour Force Indicators,Unemployment rate,38.2,2001
5941802,CANIM LAKE 1,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5941802,CANIM LAKE 1,Labour Force Indicators,Employment rate,40.6,2001
5941802,CANIM LAKE 1,Labour Force Indicators,Unemployment rate,36.8,2001
5941803,CANIM LAKE 4,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5941803,CANIM LAKE 4,Labour Force Indicators,Employment rate,NA,2001
5941803,CANIM LAKE 4,Labour Force Indicators,Unemployment rate,NA,2001
5941804,CANOE CREEK 3,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5941804,CANOE CREEK 3,Labour Force Indicators,Employment rate,NA,2001
5941804,CANOE CREEK 3,Labour Force Indicators,Unemployment rate,NA,2001
5941805,DEEP CREEK 2,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5941805,DEEP CREEK 2,Labour Force Indicators,Employment rate,55.6,2001
5941805,DEEP CREEK 2,Labour Force Indicators,Unemployment rate,23.1,2001
5941806,DOG CREEK 1,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5941806,DOG CREEK 1,Labour Force Indicators,Employment rate,50,2001
5941806,DOG CREEK 1,Labour Force Indicators,Unemployment rate,0,2001
5941807,DOG CREEK 2,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5941807,DOG CREEK 2,Labour Force Indicators,Employment rate,33.3,2001
5941807,DOG CREEK 2,Labour Force Indicators,Unemployment rate,0,2001
5941808,LOHBIEE 3,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5941808,LOHBIEE 3,Labour Force Indicators,Employment rate,37.5,2001
5941808,LOHBIEE 3,Labour Force Indicators,Unemployment rate,40,2001
5941809,QUESNEL 1,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5941809,QUESNEL 1,Labour Force Indicators,Employment rate,25,2001
5941809,QUESNEL 1,Labour Force Indicators,Unemployment rate,50,2001
5941810,SODA CREEK 1,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5941810,SODA CREEK 1,Labour Force Indicators,Employment rate,62.5,2001
5941810,SODA CREEK 1,Labour Force Indicators,Unemployment rate,40,2001
5941811,JOHNY STICKS 2,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5941811,JOHNY STICKS 2,Labour Force Indicators,Employment rate,NA,2001
5941811,JOHNY STICKS 2,Labour Force Indicators,Unemployment rate,NA,2001
5941812,WILLIAMS LAKE 1,Income in 2000,Median total income of persons 15 years of age and over ($),12048,2001
5941812,WILLIAMS LAKE 1,Labour Force Indicators,Employment rate,50,2001
5941812,WILLIAMS LAKE 1,Labour Force Indicators,Unemployment rate,26.7,2001
5941813,CANIM LAKE 2,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5941813,CANIM LAKE 2,Labour Force Indicators,Employment rate,NA,2001
5941813,CANIM LAKE 2,Labour Force Indicators,Unemployment rate,NA,2001
5941814,ALEXANDRIA 3A,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5941814,ALEXANDRIA 3A,Labour Force Indicators,Employment rate,NA,2001
5941814,ALEXANDRIA 3A,Labour Force Indicators,Unemployment rate,NA,2001
5941815,ALEXANDRIA 1,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5941815,ALEXANDRIA 1,Labour Force Indicators,Employment rate,NA,2001
5941815,ALEXANDRIA 1,Labour Force Indicators,Unemployment rate,NA,2001
5941816,ALEXANDRIA 3,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5941816,ALEXANDRIA 3,Labour Force Indicators,Employment rate,NA,2001
5941816,ALEXANDRIA 3,Labour Force Indicators,Unemployment rate,NA,2001
5941817,ALEXIS CREEK 14,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5941817,ALEXIS CREEK 14,Labour Force Indicators,Employment rate,NA,2001
5941817,ALEXIS CREEK 14,Labour Force Indicators,Unemployment rate,NA,2001
5941818,ALEXIS CREEK 16,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5941818,ALEXIS CREEK 16,Labour Force Indicators,Employment rate,NA,2001
5941818,ALEXIS CREEK 16,Labour Force Indicators,Unemployment rate,NA,2001
5941819,ALEXIS CREEK 24,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5941819,ALEXIS CREEK 24,Labour Force Indicators,Employment rate,NA,2001
5941819,ALEXIS CREEK 24,Labour Force Indicators,Unemployment rate,NA,2001
5941820,ALEXIS CREEK 25,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5941820,ALEXIS CREEK 25,Labour Force Indicators,Employment rate,NA,2001
5941820,ALEXIS CREEK 25,Labour Force Indicators,Unemployment rate,NA,2001
5941821,ANAHIM'S FLAT 1,Income in 2000,Median total income of persons 15 years of age and over ($),7536,2001
5941821,ANAHIM'S FLAT 1,Labour Force Indicators,Employment rate,35.2,2001
5941821,ANAHIM'S FLAT 1,Labour Force Indicators,Unemployment rate,31,2001
5941822,ANAHIM'S MEADOW 2,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5941822,ANAHIM'S MEADOW 2,Labour Force Indicators,Employment rate,NA,2001
5941822,ANAHIM'S MEADOW 2,Labour Force Indicators,Unemployment rate,NA,2001
5941823,ANAHIM'S MEADOW 2A,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5941823,ANAHIM'S MEADOW 2A,Labour Force Indicators,Employment rate,NA,2001
5941823,ANAHIM'S MEADOW 2A,Labour Force Indicators,Unemployment rate,NA,2001
5941824,ANDY CAHOOSE MEADOW 16,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5941824,ANDY CAHOOSE MEADOW 16,Labour Force Indicators,Employment rate,NA,2001
5941824,ANDY CAHOOSE MEADOW 16,Labour Force Indicators,Unemployment rate,NA,2001
5941825,BAEZAEKO RIVER 25,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5941825,BAEZAEKO RIVER 25,Labour Force Indicators,Employment rate,NA,2001
5941825,BAEZAEKO RIVER 25,Labour Force Indicators,Unemployment rate,NA,2001
5941826,CAHOOSE  8,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5941826,CAHOOSE  8,Labour Force Indicators,Employment rate,NA,2001
5941826,CAHOOSE  8,Labour Force Indicators,Unemployment rate,NA,2001
5941827,CHARLEY BOY'S MEADOW 3,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5941827,CHARLEY BOY'S MEADOW 3,Labour Force Indicators,Employment rate,NA,2001
5941827,CHARLEY BOY'S MEADOW 3,Labour Force Indicators,Unemployment rate,NA,2001
5941828,CHILCO LAKE 1,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5941828,CHILCO LAKE 1,Labour Force Indicators,Employment rate,NA,2001
5941828,CHILCO LAKE 1,Labour Force Indicators,Unemployment rate,NA,2001
5941829,CHILCO LAKE 1A,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5941829,CHILCO LAKE 1A,Labour Force Indicators,Employment rate,57.1,2001
5941829,CHILCO LAKE 1A,Labour Force Indicators,Unemployment rate,0,2001
5941830,GARDEN 2,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5941830,GARDEN 2,Labour Force Indicators,Employment rate,NA,2001
5941830,GARDEN 2,Labour Force Indicators,Unemployment rate,NA,2001
5941831,TANAKUT 4,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5941831,TANAKUT 4,Labour Force Indicators,Employment rate,NA,2001
5941831,TANAKUT 4,Labour Force Indicators,Unemployment rate,NA,2001
5941832,GARDEN 2A,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5941832,GARDEN 2A,Labour Force Indicators,Employment rate,NA,2001
5941832,GARDEN 2A,Labour Force Indicators,Unemployment rate,NA,2001
5941833,KLUSKUS 1,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5941833,KLUSKUS 1,Labour Force Indicators,Employment rate,28.6,2001
5941833,KLUSKUS 1,Labour Force Indicators,Unemployment rate,75,2001
5941834,LOUIS SQUINAS RANCH 14,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5941834,LOUIS SQUINAS RANCH 14,Labour Force Indicators,Employment rate,NA,2001
5941834,LOUIS SQUINAS RANCH 14,Labour Force Indicators,Unemployment rate,NA,2001
5941835,COGLISTIKO RIVER 29,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5941835,COGLISTIKO RIVER 29,Labour Force Indicators,Employment rate,NA,2001
5941835,COGLISTIKO RIVER 29,Labour Force Indicators,Unemployment rate,NA,2001
5941836,BAEZAEKO RIVER 26,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5941836,BAEZAEKO RIVER 26,Labour Force Indicators,Employment rate,NA,2001
5941836,BAEZAEKO RIVER 26,Labour Force Indicators,Unemployment rate,NA,2001
5941837,NAZCO 20,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5941837,NAZCO 20,Labour Force Indicators,Employment rate,21.4,2001
5941837,NAZCO 20,Labour Force Indicators,Unemployment rate,62.5,2001
5941838,PUNTZI LAKE 2,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5941838,PUNTZI LAKE 2,Labour Force Indicators,Employment rate,NA,2001
5941838,PUNTZI LAKE 2,Labour Force Indicators,Unemployment rate,NA,2001
5941839,REDSTONE FLAT 1,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5941839,REDSTONE FLAT 1,Labour Force Indicators,Employment rate,25.9,2001
5941839,REDSTONE FLAT 1,Labour Force Indicators,Unemployment rate,53.3,2001
5941840,SQUINAS 2,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5941840,SQUINAS 2,Labour Force Indicators,Employment rate,NA,2001
5941840,SQUINAS 2,Labour Force Indicators,Unemployment rate,NA,2001
5941841,STONE 1,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5941841,STONE 1,Labour Force Indicators,Employment rate,35.5,2001
5941841,STONE 1,Labour Force Indicators,Unemployment rate,36.8,2001
5941842,ALEXIS CREEK 17,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5941842,ALEXIS CREEK 17,Labour Force Indicators,Employment rate,NA,2001
5941842,ALEXIS CREEK 17,Labour Force Indicators,Unemployment rate,NA,2001
5941843,SEYMOUR MEADOWS 19,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5941843,SEYMOUR MEADOWS 19,Labour Force Indicators,Employment rate,NA,2001
5941843,SEYMOUR MEADOWS 19,Labour Force Indicators,Unemployment rate,NA,2001
5941844,AGATS MEADOW 8,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
